fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7;0.27;0.36;20. Jul;0.045;45;170;1.001;3;0.45;08. Aug;6
06. Mrz;0.3;0.34;01. Jun;0.049;14;132;0.994;03. Mrz;0.49;09. Mai;6
08. Jan;0.28;0.4;06. Sep;0.05;30;97;0.9951;Mrz 26;0.44;10. Jan;6
07. Feb;0.23;0.32;08. Mai;0.058;47;186;0.9956;Mrz 19;0.4;09. Sep;6
07. Feb;0.23;0.32;08. Mai;0.058;47;186;0.9956;Mrz 19;0.4;09. Sep;6
08. Jan;0.28;0.4;06. Sep;0.05;30;97;0.9951;Mrz 26;0.44;10. Jan;6
06. Feb;0.32;0.16;7;0.045;30;136;0.9949;Mrz 18;0.47;09. Jun;6
7;0.27;0.36;20. Jul;0.045;45;170;1.001;3;0.45;08. Aug;6
06. Mrz;0.3;0.34;01. Jun;0.049;14;132;0.994;03. Mrz;0.49;09. Mai;6
08. Jan;0.22;0.43;01. Mai;0.044;28;129;0.9938;Mrz 22;0.45;11;6
08. Jan;0.27;0.41;Jan 45;0.033;11;63;0.9908;Feb 99;0.56;12;5
08. Jun;0.23;0.4;04. Feb;0.035;17;109;0.9947;Mrz 14;0.53;09. Jul;5
07. Sep;0.18;0.37;01. Feb;0.04;16;75;0.992;Mrz 18;0.63;10. Aug;5
06. Jun;0.16;0.4;01. Mai;0.044;48;143;0.9912;Mrz 54;0.52;12. Apr;7
08. Mrz;0.42;0.62;19.25;0.04;41;172;10.002;Feb 98;0.67;09. Jul;5
06. Jun;0.17;0.38;01. Mai;0.032;28;112;0.9914;Mrz 25;0.55;11. Apr;7
06. Mrz;0.48;0.04;01. Jan;0.046;30;99;0.9928;Mrz 24;0.36;09. Jun;6
06. Feb;0.66;0.48;01. Feb;0.029;29;75;0.9892;Mrz 33;0.39;12. Aug;8
07. Apr;0.34;0.42;01. Jan;0.033;17;171;0.9917;03. Dez;0.53;11. Mrz;6
06. Mai;0.31;0.14;07. Mai;0.044;34;133;0.9955;Mrz 22;0.5;09. Mai;5
06. Feb;0.66;0.48;01. Feb;0.029;29;75;0.9892;Mrz 33;0.39;12. Aug;8
06. Apr;0.31;0.38;02. Sep;0.038;19;102;0.9912;Mrz 17;0.35;11;7
06. Aug;0.26;0.42;01. Jul;0.049;41;122;0.993;Mrz 47;0.48;10. Mai;8
07. Jun;0.67;0.14;01. Mai;0.074;25;168;0.9937;03. Mai;0.51;09. Mrz;5
06. Jun;0.27;0.41;01. Mrz;0.052;16;142;0.9951;Mrz 42;0.47;10;6
7;0.25;0.32;9;0.046;56;245;0.9955;Mrz 25;0.5;10. Apr;6
06. Sep;0.24;0.35;1;0.052;35;146;0.993;Mrz 45;0.44;10;6
7;0.28;0.39;08. Jul;0.051;32;141;0.9961;Mrz 38;0.53;10. Mai;6
07. Apr;0.27;0.48;01. Jan;0.047;17;132;0.9914;Mrz 19;0.49;11. Jun;6
07. Feb;0.32;0.36;2;0.033;37;114;0.9906;03. Jan;0.71;12. Mrz;7
08. Mai;0.24;0.39;10. Apr;0.044;20;142;0.9974;03. Feb;0.53;10;6
08. Mrz;0.14;0.34;01. Jan;0.042;7;47;0.9934;Mrz 47;0.4;10. Feb;6
07. Apr;0.25;0.36;02. Mai;0.05;31;100;0.992;Mrz 19;0.44;10. Aug;6
06. Feb;0.12;0.34;01. Mai;0.045;43;117;0.9939;Mrz 42;0.51;9;6
05. Aug;0.27;0.2;14.95;0.044;22;179;0.9962;Mrz 37;0.37;10. Feb;5
07. Mrz;0.28;0.43;01. Jul;0.08;21;123;0.9905;Mrz 19;0.42;12. Aug;5
06. Mai;0.39;0.23;05. Apr;0.051;25;149;0.9934;Mrz 24;0.35;10;5
7;0.33;0.32;01. Feb;0.053;38;138;0.9906;Mrz 13;0.28;11. Feb;6
07. Mrz;0.24;0.39;17.95;0.057;45;149;0.9999;Mrz 21;0.36;08. Jun;5
07. Mrz;0.24;0.39;17.95;0.057;45;149;0.9999;Mrz 21;0.36;08. Jun;5
06. Jul;0.23;0.39;02. Mai;0.172;63;158;0.9937;03. Nov;0.36;09. Apr;6
06. Jul;0.24;0.39;02. Sep;0.173;63;157;0.9937;03. Jan;0.34;09. Apr;6
7;0.31;0.26;07. Apr;0.069;28;160;0.9954;Mrz 13;0.46;09. Aug;6
